Emission lines,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,900,925,950,975,1000
Brα λ4.051 μm,0.068,0.095,0.098,0.097,0.094,0.089,0.087,0.085,0.083,0.082,0.082,0.081,0.081,0.081,0.081,0.081,0.082,0.082,0.082,0.082,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
[Ar VI] λ4.530 μm,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
[Ar II] λ6.983 μm,0.026,0.057,0.071,0.074,0.056,0.044,0.045,0.048,0.052,0.056,0.061,0.067,0.074,0.083,0.094,0.108,0.122,0.137,0.152,0.167,0.181,0.196,0.21,0.223,0.236,0.249,0.26,0.271,0.28,0.289,0.296,0.309,0.314,0.318,0.321,0.324
[Ne VI] λ7.652 μm,0.0,0.0,0.0,0.013,0.089,0.134,0.111,0.095,0.083,0.073,0.065,0.057,0.051,0.046,0.041,0.037,0.034,0.031,0.029,0.028,0.026,0.025,0.024,0.023,0.022,0.021,0.021,0.021,0.02,0.02,0.02,0.021,0.021,0.022,0.023,0.024
[Ar III] λ8.991 μm,0.002,0.058,0.079,0.085,0.174,0.253,0.28,0.301,0.314,0.323,0.33,0.335,0.338,0.34,0.34,0.34,0.34,0.338,0.337,0.335,0.333,0.331,0.329,0.327,0.325,0.323,0.321,0.319,0.317,0.315,0.313,0.31,0.308,0.306,0.305,0.303
[S IV] λ10.44 μm,0.0,0.022,0.029,0.019,0.022,0.032,0.051,0.077,0.111,0.153,0.201,0.253,0.304,0.353,0.396,0.434,0.468,0.498,0.523,0.544,0.562,0.576,0.587,0.595,0.601,0.606,0.611,0.616,0.621,0.626,0.633,0.648,0.657,0.668,0.678,0.69
[Ne II] λ12.8 μm,0.057,0.532,0.645,0.622,0.601,0.521,0.452,0.425,0.409,0.4,0.401,0.413,0.439,0.484,0.547,0.623,0.705,0.791,0.878,0.965,1.052,1.139,1.225,1.308,1.389,1.466,1.534,1.596,1.65,1.695,1.733,1.788,1.806,1.819,1.829,1.836
[Ne V] λ14.5 μm,0.0,0.0,0.008,0.017,0.032,0.028,0.024,0.022,0.02,0.019,0.018,0.017,0.016,0.015,0.015,0.015,0.015,0.016,0.017,0.018,0.019,0.021,0.022,0.024,0.027,0.029,0.032,0.036,0.04,0.045,0.05,0.063,0.07,0.079,0.087,0.097
[Ne V] λ15.5 μm,0.0,0.236,0.362,0.459,0.764,1.203,1.523,1.738,1.889,2.006,2.095,2.165,2.224,2.274,2.319,2.36,2.402,2.444,2.491,2.541,2.595,2.652,2.713,2.779,2.848,2.922,2.999,3.078,3.162,3.247,3.331,3.495,3.569,3.637,3.696,3.747
[S III] λ18.7 μm,0.08,0.17,0.214,0.231,0.405,0.684,0.818,0.944,1.071,1.193,1.308,1.415,1.521,1.631,1.748,1.865,1.979,2.087,2.189,2.286,2.378,2.466,2.549,2.628,2.704,2.774,2.838,2.894,2.944,2.989,3.027,3.086,3.107,3.122,3.133,3.141
[O IV] λ25.9 μm,0.0,0.155,0.234,0.212,0.195,0.182,0.22,0.3,0.423,0.594,0.794,1.002,1.184,1.328,1.434,1.516,1.588,1.65,1.706,1.753,1.793,1.824,1.852,1.875,1.896,1.914,1.94,1.971,2.008,2.054,2.107,2.241,2.321,2.407,2.498,2.592
log Hβ ergs/cm2/s,-4.314,-4.145,-3.934,-3.753,-3.635,-3.491,-3.388,-3.297,-3.21,-3.129,-3.051,-2.976,-2.903,-2.832,-2.766,-2.704,-2.646,-2.592,-2.541,-2.495,-2.451,-2.409,-2.37,-2.333,-2.297,-2.263,-2.229,-2.196,-2.165,-2.134,-2.103,-2.045,-2.016,-1.989,-1.961,-1.934
