Mg II λ2800,0.112,0.081,0.077,0.1,0.165,0.242,0.352,0.484,0.608,0.729,0.847,0.958,1.051,1.121,1.168,1.195,1.209,1.211,1.208,1.198,1.185,1.171,1.154,1.136,1.097,1.077,1.056,1.034,1.012,0.99,0.967,0.945,0.924,0.903,0.885,0.867
Ne V λ3426,0.001,0.03,0.106,0.191,0.26,0.221,0.194,0.174,0.157,0.144,0.132,0.121,0.111,0.103,0.096,0.089,0.084,0.079,0.075,0.072,0.069,0.066,0.064,0.061,0.057,0.056,0.054,0.052,0.05,0.049,0.047,0.045,0.044,0.042,0.041,0.039
Ne III λ3869,0.657,0.592,0.444,0.407,0.381,0.372,0.42,0.515,0.64,0.779,0.911,1.027,1.12,1.189,1.236,1.268,1.289,1.304,1.315,1.323,1.329,1.336,1.342,1.349,1.367,1.378,1.391,1.407,1.424,1.443,1.463,1.484,1.506,1.528,1.549,1.568
[O II] λλ3727+3729,0.657,0.592,0.444,0.407,0.381,0.372,0.42,0.515,0.64,0.779,0.911,1.027,1.12,1.189,1.236,1.268,1.289,1.304,1.315,1.323,1.329,1.336,1.342,1.349,1.367,1.378,1.391,1.407,1.424,1.443,1.463,1.484,1.506,1.528,1.549,1.568
[S II] λλ4069+4076,0.056,0.045,0.038,0.043,0.057,0.074,0.102,0.134,0.164,0.19,0.209,0.221,0.228,0.231,0.232,0.231,0.229,0.227,0.225,0.223,0.222,0.221,0.219,0.219,0.218,0.218,0.218,0.218,0.218,0.219,0.219,0.219,0.219,0.218,0.218,0.216
[O III] λ4363,0.308,0.341,0.265,0.208,0.177,0.152,0.136,0.122,0.111,0.101,0.093,0.086,0.079,0.074,0.069,0.065,0.061,0.057,0.055,0.052,0.05,0.048,0.046,0.044,0.041,0.04,0.038,0.037,0.036,0.034,0.033,0.032,0.031,0.03,0.029,0.028
He II λ4686,0.051,0.086,0.058,0.052,0.061,0.076,0.1,0.13,0.163,0.197,0.227,0.249,0.26,0.263,0.26,0.256,0.252,0.248,0.245,0.242,0.24,0.237,0.235,0.234,0.231,0.229,0.229,0.228,0.228,0.228,0.229,0.23,0.232,0.234,0.236,0.238
Hβ λ4861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[O III] λ5007,3.507,3.576,2.728,2.168,1.868,1.634,1.482,1.364,1.27,1.197,1.137,1.089,1.051,1.023,0.998,0.978,0.96,0.945,0.932,0.92,0.908,0.897,0.886,0.875,0.852,0.84,0.829,0.817,0.806,0.796,0.787,0.778,0.771,0.765,0.761,0.757
[N I] λ5200,0.06,0.06,0.048,0.048,0.055,0.055,0.071,0.071,0.125,0.125,0.205,0.205,0.343,0.343,0.493,0.493,0.624,0.624,0.726,0.726,0.79,0.79,0.818,0.818,0.821,0.821,0.81,0.81,0.793,0.793,0.777,0.777,0.763,0.763,0.753,0.753
[O I] λ6300,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.126,3.127,3.126,3.126,3.126,3.126,3.127,3.126,3.126,3.126,3.126,3.126,3.126,3.126
Hα λ6563,3.254,3.162,3.099,3.068,3.031,3.005,2.985,2.97,2.958,2.951,2.946,2.944,2.942,2.943,2.944,2.946,2.948,2.951,2.954,2.957,2.96,2.963,2.966,2.97,2.978,2.983,2.988,2.993,2.999,3.006,3.012,3.019,3.026,3.032,3.039,3.046
[N II] λ6583,0.98,0.898,0.946,1.118,1.504,1.887,2.364,2.909,3.443,3.95,4.402,4.779,5.072,5.286,5.43,5.521,5.579,5.61,5.627,5.631,5.628,5.622,5.609,5.598,5.573,5.564,5.555,5.551,5.548,5.548,5.551,5.555,5.562,5.568,5.573,5.574
[S II] λλ6716+6731,0.827,0.888,1.186,1.515,2.083,2.67,3.449,4.156,4.695,5.07,5.272,5.332,5.291,5.195,5.068,4.932,4.8,4.676,4.566,4.469,4.386,4.318,4.26,4.215,4.148,4.125,4.104,4.086,4.065,4.043,4.02,3.991,3.959,3.923,3.882,3.836
[O II] λλ7319+7320,0.234,0.208,0.152,0.12,0.104,0.092,0.085,0.084,0.087,0.093,0.101,0.109,0.117,0.125,0.132,0.138,0.143,0.148,0.152,0.156,0.159,0.162,0.164,0.167,0.171,0.172,0.174,0.176,0.178,0.18,0.182,0.185,0.187,0.19,0.192,0.195
[S III] λλ9069+9031,0.365,0.31,0.229,0.229,0.362,0.527,0.716,0.945,1.191,1.443,1.683,1.899,2.081,2.229,2.347,2.444,2.528,2.603,2.676,2.745,2.816,2.891,2.968,3.049,3.22,3.31,3.4,3.492,3.583,3.673,3.761,3.848,3.932,4.014,4.093,4.169
Brα λ4.051 μm,0.11,0.11,0.105,0.101,0.097,0.094,0.092,0.09,0.089,0.088,0.087,0.086,0.086,0.085,0.085,0.085,0.085,0.086,0.086,0.086,0.087,0.087,0.087,0.088,0.088,0.089,0.089,0.09,0.09,0.091,0.091,0.092,0.092,0.093,0.093,0.094
[Ar VI] λ4.530 μm,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[Ar II] λ6.983 μm,0.064,0.107,0.117,0.123,0.134,0.141,0.148,0.152,0.154,0.155,0.154,0.151,0.147,0.144,0.142,0.142,0.143,0.146,0.151,0.157,0.163,0.171,0.18,0.188,0.208,0.217,0.227,0.237,0.247,0.257,0.267,0.276,0.285,0.294,0.303,0.311
[Ne VI] λ7.652 μm,0.0,0.0,0.006,0.042,0.128,0.12,0.103,0.091,0.082,0.075,0.069,0.063,0.058,0.053,0.05,0.046,0.043,0.041,0.039,0.037,0.035,0.034,0.033,0.032,0.029,0.028,0.027,0.027,0.026,0.025,0.024,0.023,0.022,0.021,0.02,0.02
[Ar III] λ8.991 μm,0.033,0.031,0.025,0.031,0.073,0.104,0.133,0.162,0.185,0.206,0.226,0.245,0.261,0.276,0.287,0.297,0.304,0.309,0.312,0.314,0.316,0.316,0.316,0.315,0.312,0.311,0.309,0.307,0.305,0.303,0.301,0.299,0.298,0.296,0.295,0.294
[S IV] λ10.44 μm,0.026,0.032,0.02,0.016,0.015,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.02,0.021
[Ne II] λ12.8 μm,0.507,0.761,0.786,0.866,1.103,1.17,1.17,1.138,1.085,1.028,0.974,0.926,0.888,0.863,0.855,0.86,0.877,0.904,0.937,0.976,1.02,1.065,1.113,1.163,1.268,1.321,1.375,1.429,1.482,1.534,1.585,1.635,1.684,1.73,1.777,1.823
[Ne V] λ14.5 μm,0.0,0.004,0.013,0.022,0.029,0.025,0.022,0.02,0.018,0.016,0.015,0.014,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005
[Ne V] λ15.5 μm,0.203,0.197,0.184,0.242,0.51,0.877,1.286,1.638,1.94,2.186,2.363,2.485,2.561,2.605,2.626,2.639,2.65,2.664,2.682,2.704,2.73,2.762,2.795,2.832,2.911,2.953,2.996,3.04,3.083,3.129,3.176,3.222,3.268,3.314,3.359,3.401
[S III] λ18.7 μm,0.107,0.111,0.099,0.119,0.246,0.368,0.474,0.584,0.693,0.799,0.897,0.984,1.061,1.129,1.194,1.259,1.326,1.398,1.473,1.551,1.633,1.716,1.802,1.889,2.066,2.155,2.244,2.331,2.417,2.501,2.583,2.663,2.74,2.815,2.889,2.96
[O IV] λ25.9 μm,0.144,0.226,0.205,0.178,0.155,0.136,0.123,0.113,0.106,0.1,0.094,0.088,0.082,0.076,0.071,0.066,0.062,0.059,0.056,0.054,0.051,0.049,0.047,0.046,0.043,0.041,0.04,0.039,0.038,0.037,0.036,0.035,0.034,0.033,0.032,0.031
log Hβ ergs/cm2/s,-5.207,-4.956,-4.719,-4.584,-4.472,-4.358,-4.261,-4.175,-4.096,-4.024,-3.955,-3.889,-3.826,-3.767,-3.711,-3.659,-3.61,-3.564,-3.522,-3.483,-3.446,-3.411,-3.377,-3.345,-3.285,-3.256,-3.227,-3.198,-3.17,-3.142,-3.114,-3.086,-3.058,-3.031,-3.003,-2.976
